Όνομα,Latitude,Longitude,Κατηγορία,Κόστος,Ωράριο,Περιγραφή
Γκρίνερλοκα,59.9231,10.759,Αξιοθέατα,Δωρεάν,—,"Η πιο ζωντανή γειτονιά του Όσλο: παλιά εργατική, τώρα γεμάτη vintage μαγαζιά, street art, μικροζυθοποιίες και πλατείες με κόσμο. Το Olaf Ryes plass και το Birkelunden είναι τα σαλόνια της. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Κυριακή πρωί έχει λαϊκή/παζάρι στο Birkelunden. Εδώ θα περάσεις τα περισσότερα βράδια. — ★ Διαμάντι"
Βοτανικός Κήπος,59.9186,10.7712,Αξιοθέατα,Δωρεάν (θερμοκήπια 80 NOK),07:00–21:00,"Ο παλαιότερος βοτανικός κήπος της Νορβηγίας, 1814. Ήσυχη όαση στο Tøyen με 5.500 είδη φυτών και έναν κήπο αρωμάτων. — ΚΟΣΤΟΣ: Δωρεάν (θερμοκήπια 80 NOK) — ΩΡΑΡΙΟ: 07:00–21:00 — ΚΟΛΠΟ: Δίπλα στο Μουσείο Munch — συνδυάζονται τέλεια σε ένα απόγευμα."
Πάρκο Σαντ Χανσχάουγκεν,59.9274,10.7393,Φύση & Θέα,Δωρεάν,—,"Ο λόφος-πάρκο της γειτονιάς σας, κυριολεκτικά 3 λεπτά από την πόρτα. Θέα στην πόλη, χορτάρι, σιντριβάνι. Εδώ θα πίνεις τον καφέ σου. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Η δική σας αυλή. Τέλειο για μπύρα το ηλιοβασίλεμα χωρίς να ξοδέψεις τίποτα."
Ποταμός Άκερσελβα,59.928,10.755,Φύση & Θέα,Δωρεάν,—,"Το ποτάμι που κόβει το Όσλο στα δύο, με μονοπάτι όλο μήκος: καταρράκτες, παλιά εργοστάσια, γέφυρες γεμάτες γκράφιτι. Είναι ο ωραιότερος τρόπος να πας από το κέντρο στη Grünerløkka. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Ξεκίνα από Vulkan/Mathallen και ανέβα βόρεια. Ο καταρράκτης στο Beierbrua είναι το ωραίο σημείο. — ★ Διαμάντι"
Θαλάσσιο κολυμβητήριο Σόρενγκα,59.9021,10.7527,Μπάνιο,Δωρεάν,24/7 (ναυαγοσώστης το καλοκαίρι),"Δωρεάν κολυμβητήριο μέσα στο λιμάνι: ξύλινα deck, βατήρας, καθαρό νερό του φιόρδ και θέα στην Όπερα. Οι ντόπιοι κάνουν μπάνιο εδώ μέχρι τον Οκτώβρη. — ΚΟΣΤΟΣ: Δωρεάν — ΩΡΑΡΙΟ: 24/7 (ναυαγοσώστης το καλοκαίρι) — ΚΟΛΠΟ: Νερό ~17–19°C τον Αύγουστο. Πάρε πετσέτα — είναι η πιο «Όσλο» εμπειρία που θα ζήσεις δωρεάν. — ★ Διαμάντι"
Οδός Καρλ Γιόχαν,59.9133,10.7397,Αξιοθέατα,Δωρεάν,—,"Ο κεντρικός πεζόδρομος, από τον σταθμό ως το Παλάτι. Τουριστικός αλλά είναι ο άξονας που συνδέει τα πάντα. — ΚΟΣΤΟΣ: Δωρεάν — ΚΟΛΠΟ: Μη φας και μην πιεις τίποτα πάνω στον δρόμο — 40% ακριβότερα από 2 τετράγωνα μακριά."
Συνοικία Vulkan,59.9226,10.7513,Αξιοθέατα,Δωρεάν βόλτα,—,"Πρώην βιομηχανικό τετράγωνο δίπλα στο ποτάμι, τώρα γεμάτο με το Mathallen, μπυραρίες, μια σκηνή αναρρίχησης και αστικά μελίσσια στις ταράτσες. — ΚΟΣΤΟΣ: Δωρεάν βόλτα — ΚΟΛΠΟ: Το σημείο εκκίνησης για τη βόλτα στο Akerselva."
Μουσείο Μουνκ,59.906,10.7554,Μουσεία,280 NOK · 200 NOK μετά τις 18:00,Κυρ–Τρί 10:00–18:00 · Τετ–Σάβ 10:00–21:00,"13 όροφοι αφιερωμένοι στον Έντβαρντ Μουνκ, με δύο από τις εκδοχές της «Κραυγής» να εναλλάσσονται κάθε μισή ώρα σε ειδικό θάλαμο. Στον 13ο όροφο μπαρ με θέα σε όλο το φιόρδ. — ΚΟΣΤΟΣ: 280 NOK · 200 NOK μετά τις 18:00 — ΩΡΑΡΙΟ: Κυρ–Τρί 10:00–18:00 · Τετ–Σάβ 10:00–21:00 — ΚΟΛΠΟ: ΜΠΕΣ ΜΕΤΑ ΤΙΣ 18:00 → 200 αντί για 280 NOK, και χωρίς ουρές. Τετ–Σάβ μόνο. — ★ Διαμάντι"
Εθνικό Μουσείο,59.9124,10.7288,Μουσεία,~200 NOK (κάτω των 18 δωρεάν),Τρί–Κυρ 10:00–20:00 · Δευτέρα κλειστά,"Το μεγαλύτερο μουσείο τέχνης της Σκανδιναβίας, άνοιξε το 2022. Εδώ κρέμεται η πιο διάσημη «Κραυγή» (1893), μαζί με Πικάσο, Μονέ και νορβηγικά τοπία. — ΚΟΣΤΟΣ: ~200 NOK (κάτω των 18 δωρεάν) — ΩΡΑΡΙΟ: Τρί–Κυρ 10:00–20:00 · Δευτέρα κλειστά — ΚΟΛΠΟ: ΚΛΕΙΣΤΑ ΤΗ ΔΕΥΤΕΡΑ. Η ταράτσα «Light Hall» είναι δωρεάν προσβάσιμη. — ★ Διαμάντι"
Μουσείο Fram,59.9034,10.6987,Μουσεία,~160 NOK · combo με Kon-Tiki −40,10:00–18:00,"Μπαίνεις ΜΕΣΑ στο πραγματικό πλοίο Fram, που πήγε πιο βόρεια και πιο νότια από κάθε άλλο ξύλινο σκάφος στην ιστορία. Περπατάς στις καμπίνες των Ναnsen και Amundsen όπως τις άφησαν. — ΚΟΣΤΟΣ: ~160 NOK · combo με Kon-Tiki −40 — ΩΡΑΡΙΟ: 10:00–18:00 — ΚΟΛΠΟ: Το καλύτερο μουσείο του Bygdøy με διαφορά. Έχει και προσομοιωτή πολικού ψύχους. — ★ Διαμάντι"
Μουσείο Κον-Τίκι,59.9029,10.6976,Μουσεία,~180 NOK,10:00–18:00,Η αυθεντική σχεδία με την οποία ο Thor Heyerdahl διέσχισε τον Ειρηνικό το 1947 για να αποδείξει μια θεωρία που όλοι έλεγαν τρελή. Και το παπυρένιο Ra II δίπλα. — ΚΟΣΤΟΣ: ~180 NOK — ΩΡΑΡΙΟ: 10:00–18:00 — ΚΟΛΠΟ: 50 μέτρα από το Fram — τα κάνεις μαζί. Το combo γλιτώνει ~40 NOK.
Λαογραφικό Μουσείο,59.9068,10.6846,Μουσεία,~220 NOK,10:00–17:00,"Υπαίθριο μουσείο με 160 αυθεντικά κτίρια μεταφερμένα από όλη τη Νορβηγία, με κορυφαίο την ξύλινη εκκλησία Gol του 1200. Το καλοκαίρι υπάρχει προσωπικό με παραδοσιακές στολές και ζωντανά ζώα. — ΚΟΣΤΟΣ: ~220 NOK — ΩΡΑΡΙΟ: 10:00–17:00 — ΚΟΛΠΟ: Η ξύλινη εκκλησία (stavkirke) είναι ο λόγος που έρχεσαι. Θέλει 2–3 ώρες. — ★ Διαμάντι"
Μουσείο Άστρουπ Φέρνλεϊ,59.9077,10.7205,Μουσεία,~150 NOK · γλυπτόκηπος δωρεάν,Τρί–Κυρ 12:00–17:00 · Δευτέρα κλειστά,"Μοντέρνα τέχνη σε κτίριο του Renzo Piano με σκεπή σαν πανί καραβιού. Μέσα Koons, Hirst, Cattelan. Ο γλυπτόκηπος γύρω είναι ελεύθερος. — ΚΟΣΤΟΣ: ~150 NOK · γλυπτόκηπος δωρεάν — ΩΡΑΡΙΟ: Τρί–Κυρ 12:00–17:00 · Δευτέρα κλειστά — ΚΟΛΠΟ: Αν δεν γουστάρεις σύγχρονη τέχνη, κάνε μόνο τον δωρεάν κήπο και την παραλία δίπλα."
Ιστορικό Μουσείο,59.9166,10.735,Μουσεία,~120 NOK,Τρί–Κυρ 10:00–17:00 · Δευτέρα κλειστά,"ΕΔΩ είναι οι Βίκινγκς όσο το Μουσείο Βικινγκικής Εποχής είναι κλειστό: χρυσά κοσμήματα, το κράνος του Gjermundbu (το ΜΟΝΑΔΙΚΟ πλήρες κράνος Βίκινγκ στον κόσμο) και μια αιγυπτιακή συλλογή με μούμιες. — ΚΟΣΤΟΣ: ~120 NOK — ΩΡΑΡΙΟ: Τρί–Κυρ 10:00–17:00 · Δευτέρα κλειστά — ΚΟΛΠΟ: ΣΗΜΑΝΤΙΚΟ: Το Μουσείο Πλοίων Βίκινγκ στο Bygdøy είναι ΚΛΕΙΣΤΟ ως το 2027. Εδώ πας. — ★ Διαμάντι"
Κέντρο Νόμπελ Ειρήνης,59.9114,10.7305,Μουσεία,~150 NOK,Τρί–Κυρ 10:00–18:00,"Διαδραστική έκθεση για όλους τους νικητές του Νόμπελ Ειρήνης, σε παλιό σταθμό τρένου στο λιμάνι. — ΚΟΣΤΟΣ: ~150 NOK — ΩΡΑΡΙΟ: Τρί–Κυρ 10:00–18:00 — ΚΟΛΠΟ: Καλό μόνο αν βρέχει και έχεις Oslo Pass. Αλλιώς προσπέρασέ το."
Μουσείο Βίγκελαντ,59.9243,10.7014,Μουσεία,~120 NOK,Τρί–Κυρ 12:00–16:00,"Το εργαστήρι όπου έζησε και δούλεψε ο Vigeland, με τα γύψινα πρωτότυπα όλων των γλυπτών του πάρκου. Σχεδόν άδειο από κόσμο. — ΚΟΣΤΟΣ: ~120 NOK — ΩΡΑΡΙΟ: Τρί–Κυρ 12:00–16:00 — ΚΟΛΠΟ: 200 μέτρα από το πάρκο. Μπες μόνο αν σε τράβηξαν πραγματικά τα γλυπτά."
Vippa street food,59.9007,10.7358,Φαγητό,~120–250 NOK το πιάτο,Τρί–Κυρ 11:00–22:00 (Δευτέρα κλειστά),"Παλιά αποθήκη λιμανιού που έγινε street-food αγορά με κουζίνες από πρόσφυγες και μετανάστες: συριακό, ερυθραϊκό, βιετναμέζικο, βενεζουελάνικο. Το φθηνότερο αξιοπρεπές φαγητό της πόλης, με θέα στο φιόρδ. — ΚΟΣΤΟΣ: ~120–250 NOK το πιάτο — ΩΡΑΡΙΟ: Τρί–Κυρ 11:00–22:00 (Δευτέρα κλειστά) — ΚΟΛΠΟ: Το καλύτερο value-for-money φαγητό στο Όσλο. Πήγαινε νωρίς, γεμίζει. — ★ Διαμάντι"
Αγορά Mathallen,59.9226,10.7511,Φαγητό,~150–300 NOK,Τρί–Παρ 10:00–20:00 · Σάβ 10:00–18:00 · Κυρ 11:00–17:00 · Δευτέρα κλειστά,"Σκεπαστή αγορά σε παλιό χυτήριο, με 30 πάγκους: νορβηγικά τυριά, καπνιστός σολομός, ταπας, ζυμωτά. Μπορείς και να ψωνίσεις πρώτες ύλες για το σπίτι. — ΚΟΣΤΟΣ: ~150–300 NOK — ΩΡΑΡΙΟ: Τρί–Παρ 10:00–20:00 · Σάβ 10:00–18:00 · Κυρ 11:00–17:00 · Δευτέρα κλειστά — ΚΟΛΠΟ: Το lunch special (11:00–15:00) πέφτει στα ~150 NOK. Δευτέρα κλειστά — προσοχή. — ★ Διαμάντι"
Illegal Burger,59.9224,10.7573,Φαγητό,~180–220 NOK,15:00–23:00 (Παρ/Σάβ έως 03:00),"Το μπέργκερ που ξεκίνησε το smash-burger τρελό στο Όσλο, μικρό μαγαζί στην καρδιά της Grünerløkka. Μενού σε μαυροπίνακα, ουρά στην πόρτα, κρέας που στάζει. — ΚΟΣΤΟΣ: ~180–220 NOK — ΩΡΑΡΙΟ: 15:00–23:00 (Παρ/Σάβ έως 03:00) — ΚΟΛΠΟ: Ανοίγει 15:00. Το «Illegal» με μπέικον και τσένταρ είναι το κλασικό. — ★ Διαμάντι"
Punjab Tandoori,59.9124,10.7627,Φαγητό,~150–190 NOK,11:00–23:00,"Θεσμός στο Grønland εδώ και 30+ χρόνια: πλαστικά τραπέζια, φώτα φθορίου, μηδέν διακόσμηση — και το φθηνότερο σωστό γεύμα του Όσλο. Ταξιτζήδες, φοιτητές και οικογένειες, μηδέν τουρίστες. — ΚΟΣΤΟΣ: ~150–190 NOK — ΩΡΑΡΙΟ: 11:00–23:00 — ΚΟΛΠΟ: Chicken tikka masala + naan ~180 NOK, χορταίνεις για τη μέρα. Μετρητά ή κάρτα, μιλάνε λίγα αγγλικά. — ★ Διαμάντι"
Syverkiosken (pølse),59.9285,10.7534,Φαγητό,~60–90 NOK,Δευ–Παρ 10:00–18:00 · Σάβ 11:00–17:00,"Το τελευταίο αυθεντικό κιόσκι λουκάνικου του Όσλο, λειτουργεί από το 1979 και είναι κηρυγμένο διατηρητέο. Σου δίνουν το pølse τυλιγμένο σε lompe (πατατόπιτα) με κρεμμύδι και ρέμουλα, όπως 50 χρόνια πριν. — ΚΟΣΤΟΣ: ~60–90 NOK — ΩΡΑΡΙΟ: Δευ–Παρ 10:00–18:00 · Σάβ 11:00–17:00 — ΚΟΛΠΟ: Το πιο νορβηγικό πράγμα που θα φας, με 70 κορώνες. Ζήτα ""pølse med lompe"". — ★ Διαμάντι"
Fiskeriet (ψαρικά),59.9146,10.7476,Φαγητό,~180–280 NOK,11:00–21:00,"Ψαράδικο και εστιατόριο μαζί, στην πλατεία Youngstorget. Η ψαρόσουπα τους και το fish & chips με μπακαλιάρο σκράι είναι από τα καλύτερα στην πόλη σε λογική τιμή. — ΚΟΣΤΟΣ: ~180–280 NOK — ΩΡΑΡΙΟ: 11:00–21:00 — ΚΟΛΠΟ: Η fiskesuppe (~185 NOK) με ψωμί είναι πλήρες γεύμα."
Hitchhiker,59.9228,10.7507,Φαγητό,~150–250 NOK,16:00–22:00,"Ασιατικό street food σε μικρά πιάτα, δίπλα στο Mathallen. Bao buns, ταϊλανδέζικα, κορεάτικα — φτιαγμένα από κόσμο που ξέρει. — ΚΟΣΤΟΣ: ~150–250 NOK — ΩΡΑΡΙΟ: 16:00–22:00 — ΚΟΛΠΟ: Παράγγειλε 2–3 μικρά πιάτα να τα μοιραστείτε αντί για κυρίως."
Smalhans,59.931,10.7386,Φαγητό,~295 NOK το «dagens»,Τρί–Σάβ 16:00–23:00,"Μπιστρό γειτονιάς στο St. Hanshaugen, 8 λεπτά με τα πόδια από εσάς. Σερβίρει ένα «πιάτο ημέρας» σε σταθερή τιμή — σύγχρονη νορβηγική κουζίνα χωρίς τα νούμερα του κέντρου. — ΚΟΣΤΟΣ: ~295 NOK το «dagens» — ΩΡΑΡΙΟ: Τρί–Σάβ 16:00–23:00 — ΚΟΛΠΟ: Η καλύτερη επιλογή αν θέλετε ΕΝΑ σωστό δείπνο έξω. Θέλει κράτηση."
Freddy Fuego,59.9163,10.7455,Φαγητό,~140–180 NOK,11:00–21:00,"Μεγάλα, γεμάτα burritos σε τιμή που στο Όσλο θεωρείται δώρο. Γρήγορο, χορταστικό, κοντά στο κέντρο. — ΚΟΣΤΟΣ: ~140–180 NOK — ΩΡΑΡΙΟ: 11:00–21:00 — ΚΟΛΠΟ: Λύση για μέρα που γυρνάτε πεινασμένοι και δεν θέλετε να μαγειρέψετε."
Østbanehallen,59.9109,10.7503,Φαγητό,~150–300 NOK,07:00–23:00,"Η παλιά αίθουσα του κεντρικού σταθμού, γεμάτη με μπαρ και φαγητά. Χρήσιμο γιατί είναι ανοιχτό όταν όλα τα άλλα έχουν κλείσει. — ΚΟΣΤΟΣ: ~150–300 NOK — ΩΡΑΡΙΟ: 07:00–23:00 — ΚΟΛΠΟ: Πρακτικό stop πριν/μετά το τρένο του αεροδρομίου."
Lorry (παλιά ταβέρνα),59.9227,10.728,Φαγητό,~230–350 NOK,11:00–24:00,"Παμπ-εστιατόριο του 1880 με ταρανδό, ρέγγες και 130 μπύρες, γεμάτο κυνηγετικά τρόπαια στους τοίχους. Εδώ πίνανε ο Munch και οι μποέμ του Όσλο. — ΚΟΣΤΟΣ: ~230–350 NOK — ΩΡΑΡΙΟ: 11:00–24:00 — ΚΟΛΠΟ: Αν θες να δοκιμάσεις ταρανδό ή φαλαινοκρέας (ναι, υπάρχει), εδώ είναι το σωστό μέρος."
Tim Wendelboe (καφές),59.926,10.7583,Καφές,~45–70 NOK,Δευ–Παρ 08:30–17:00 · Σαβ/Κυρ 11:00–17:00,"Ο άνθρωπος που έκανε τη Σκανδιναβία επίκεντρο του specialty coffee — πρωταθλητής κόσμου barista, δικό του καβουρδιστήρι. Μικρό μαγαζί, τελετουργικός καφές. — ΚΟΣΤΟΣ: ~45–70 NOK — ΩΡΑΡΙΟ: Δευ–Παρ 08:30–17:00 · Σαβ/Κυρ 11:00–17:00 — ΚΟΛΠΟ: Αν πίνεις καφέ σοβαρά, είναι προσκύνημα. Αν όχι, το Kaffebrenneriet κάνει τη δουλειά. — ★ Διαμάντι"
Crowbar,59.9147,10.7492,Bars,~105–140 NOK η πίντα,15:00–01:00 (Παρ/Σάβ έως 03:00),"Η πιο σοβαρή λίστα βαρελίσιων στο Όσλο: 20+ βρύσες με νορβηγική και διεθνή craft, plus δικιά τους μικροζυθοποιία στο υπόγειο. — ΚΟΣΤΟΣ: ~105–140 NOK η πίντα — ΩΡΑΡΙΟ: 15:00–01:00 (Παρ/Σάβ έως 03:00) — ΚΟΛΠΟ: Ζήτα μικρό ποτήρι (0,3l) για να δοκιμάσεις πολλά χωρίς να χρεοκοπήσεις. — ★ Διαμάντι"
RØØR,59.9236,10.7595,Bars,~105–130 NOK η πίντα,15:00–01:00,"Το πιο άνετο craft beer bar της Grünerløkka: πολυθρόνες, σκούρο ξύλο, 12 νορβηγικές βρύσες και φαγητό που στέκει. — ΚΟΣΤΟΣ: ~105–130 NOK η πίντα — ΩΡΑΡΙΟ: 15:00–01:00 — ΚΟΛΠΟ: Έχει happy hour νωρίς το απόγευμα — ρώτα, δεν το διαφημίζουν. — ★ Διαμάντι"
Himkok,59.9155,10.7527,Bars,~170–220 NOK το κοκτέιλ,18:00–01:00 (Παρ/Σάβ έως 03:00),"Στα World's 50 Best Bars. Αποστακτήριο και μπαρ μαζί, πίσω από μια ανώνυμη πόρτα χωρίς ταμπέλα — φτιάχνουν το δικό τους τζιν και ακουαβίτ επιτόπου. — ΚΟΣΤΟΣ: ~170–220 NOK το κοκτέιλ — ΩΡΑΡΙΟ: 18:00–01:00 (Παρ/Σάβ έως 03:00) — ΚΟΛΠΟ: Δεν έχει πινακίδα: ψάξε τη μεταλλική πόρτα στο Storgata 27 και χτύπα. Μία φορά αξίζει. — ★ Διαμάντι"
Torggata Botaniske,59.9153,10.7502,Bars,~160–200 NOK το κοκτέιλ,16:00–01:00,"Μπαρ-θερμοκήπιο γεμάτο φυτά, με κοκτέιλ φτιαγμένα από βότανα και λουλούδια. Ατμόσφαιρα ζούγκλας μέσα στο κέντρο. — ΚΟΣΤΟΣ: ~160–200 NOK το κοκτέιλ — ΩΡΑΡΙΟ: 16:00–01:00 — ΚΟΛΠΟ: Το πιο ωραίο μπαρ για ένα ήσυχο πρώτο ποτό."
Schouskjelleren,59.9193,10.758,Bars,~95–125 NOK,16:00–01:00,"Μικροζυθοποιία μέσα στο θολωτό κελάρι μιας ζυθοποιίας του 1800. Πέτρινες καμάρες, χαμηλός φωτισμός, δικές τους μπύρες που δεν βρίσκεις αλλού. — ΚΟΣΤΟΣ: ~95–125 NOK — ΩΡΑΡΙΟ: 16:00–01:00 — ΚΟΛΠΟ: Από τα φθηνότερα craft του Όσλο και σίγουρα το πιο ατμοσφαιρικό. — ★ Διαμάντι"
Territoriet (κρασί),59.9245,10.7592,Bars,~120–190 NOK το ποτήρι,16:00–01:00,"400 κρασιά σε ποτήρι — από τα μεγαλύτερα by-the-glass μενού στην Ευρώπη. Χαλαρό, χωρίς σνομπισμό, το προσωπικό σε καθοδηγεί. — ΚΟΣΤΟΣ: ~120–190 NOK το ποτήρι — ΩΡΑΡΙΟ: 16:00–01:00 — ΚΟΛΠΟ: Για την Ελένη αν προτιμά κρασί από μπύρα. Ζήτα τους να διαλέξουν αυτοί."
Blå,59.921,10.7527,Bars,~110–150 NOK,Ποικίλει (live),"Θρυλικό club/live venue πλάι στο ποτάμι, με αυλή δίπλα στο νερό γεμάτη γκράφιτι. Τζαζ, ηλεκτρονικά, ό,τι πέσει. — ΚΟΣΤΟΣ: ~110–150 NOK — ΩΡΑΡΙΟ: Ποικίλει (live) — ΚΟΛΠΟ: Κυριακή έχει τζαζ jam session. Η αυλή το καλοκαίρι είναι φοβερή."
Νησί Χοβεντόγια,59.8938,10.7305,Φύση & Θέα,Δωρεάν με το εισιτήριο Ruter,Φέρι B1/B1X κάθε 20–30′,"10 λεπτά με φέρι από το κέντρο και είσαι σε νησί με ερείπια μοναστηριού Κιστερκιανών του 1147, λιβάδια, βραχάκια για μπάνιο και μηδέν αυτοκίνητα. — ΚΟΣΤΟΣ: Δωρεάν με το εισιτήριο Ruter — ΩΡΑΡΙΟ: Φέρι B1/B1X κάθε 20–30′ — ΚΟΛΠΟ: ΜΠΑΙΝΕΙ ΣΤΟ ΚΑΝΟΝΙΚΟ ΕΙΣΙΤΗΡΙΟ ΖΩΝΗΣ 1 — δεν πληρώνεις τίποτα παραπάνω. Φέρι από Aker brygge. — ★ Διαμάντι"
